SSP3;CAZ;trn_freight;0.3;0.1;0.2;0
SSP3;OAS;trn_pass;0;0;-0.2;0.2
SSP3;IND;trn_pass;0;-0.3;-0.3;0.3
SSP3;CHA;trn_pass;0;-0.2;0.3;-0.5
SSP3;OAS;trn_aviation_intl;-0.5;-0.5;-0.2;0.7
SSP3;MEA;trn_aviation_intl;0;-0.4;-0.2;0
SSP3;UKI;trn_aviation_intl;0;-0.2;-0.1;0
SSP3;MEA;trn_freight;0;0.2;0.4;1
SSP3;REF;trn_freight;-0.8;-0.9;-0.2;0
SSP3;CHA;trn_freight;-1;-0.4;0;-1
SSP3;UKI;trn_freight;0;0.2;0.1;0
SSP3;IND;trn_shipping_intl;0;1.1;0.6;0.2
SSP3;SSA;trn_shipping_intl;0;0.3;0.4;0.2
SSP3;REF;trn_shipping_intl;-0.3;-0.4;-0.4;-0.3
SSP3;OAS;trn_shipping_intl;-0.3;-0.3;-0.2;-0.5
SSP3;CAZ;trn_shipping_intl;0;0.5;0.3;0
SSP3;ECS;trn_aviation_intl;0;0.4;0.2;0
SSP3;NES;trn_aviation_intl;0;1;0.2;0
SSP3;ECE;trn_aviation_intl;0;1;0.2;0
SSP3;EWN;trn_aviation_intl;0;-0.3;-0.2;0
SSP3;NES;trn_pass;0;0.6;0.5;0
SSP3;ESW;trn_freight;0;-0.5;-0.2;0
SSP3;ECE;trn_freight;0;0;-0.4;-0.2
SSP3;ECS;trn_freight;0;0;-0.2;0
SSP3;OAS;trn_freight;0;-0.1;-0.4;1.5
SSP3;FRA;trn_freight;0;0;0.2;0.1
SSP3;EWN;trn_shipping_intl;0;-0.3;-0.4;-0.3
SSP3;NES;trn_shipping_intl;0;2;2;0.8
