SSPscen;region;technology;vehicleType;subsectorL3;subsectorL2;subsectorL1;sector;level;2020;2030;2040;2050;2100;2150
SDP_RC;CAZ;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.12E-01;2.77E-01;4.42E-01;9.74E-01;9.74E-01
SDP_RC;CHA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;3.02E-01;6.51E-01;1.00E+00;1.00E+00;1.00E+00
SDP_RC;DEU;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.29E-01;2.48E-01;3.67E-01;7.80E-01;7.80E-01
SDP_RC;ECE;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.55E-01;3.42E-01;5.28E-01;1.00E+00;1.00E+00
SDP_RC;ECS;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;9.31E-02;2.37E-01;3.82E-01;8.42E-01;8.42E-01
SDP_RC;ENC;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;2.16E-01;4.69E-01;7.23E-01;1.00E+00;1.00E+00
SDP_RC;ESC;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;1.36E-01;2.59E-01;3.82E-01;8.45E-01;8.45E-01
SDP_RC;ESW;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;1.08E-02;1.16E-01;2.05E-01;2.93E-01;6.24E-01;6.24E-01
SDP_RC;EWN;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;8.79E-02;1.54E-01;2.20E-01;5.01E-01;5.01E-01
SDP_RC;FRA;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;1.40E-02;1.68E-01;3.13E-01;4.58E-01;9.53E-01;9.53E-01
SDP_RC;IND;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;5.17E-02;1.73E-01;2.93E-01;6.65E-01;6.65E-01
SDP_RC;JPN;BEV;Bus_tmp_vehicletype;Bus_tmp_subsectorL3;Bus;trn_pass_road;trn_pass;FV;0.00E+00;9.67E-02;1.38E-01;1.79E-01;3.75E-01;3.75E-01
