SSP_scenario,region,technology,vehicle_type,subsector_L1,subsector_L2,subsector_L3,sector,level,approx,2020,2030,2050,2100,2150
SDP,CHA,,Truck (0-3.5t),trn_freight_road_tmp_subsector_L1,trn_freight_road_tmp_subsector_L2,trn_freight_road,trn_freight,VS1,linear,1.000e+00,1.000e+00,1.000e+00,1.000e+00,1.000e+00
SDP,CHA,,Truck (18t),trn_freight_road_tmp_subsector_L1,trn_freight_road_tmp_subsector_L2,trn_freight_road,trn_freight,VS1,linear,2.230e-01,2.230e-01,2.230e-01,2.230e-01,2.230e-01
SDP,CHA,,Truck (26t),trn_freight_road_tmp_subsector_L1,trn_freight_road_tmp_subsector_L2,trn_freight_road,trn_freight,VS1,linear,4.470e-01,3.350e-01,3.350e-01,3.350e-01,3.350e-01
SDP,CHA,,Truck (40t),trn_freight_road_tmp_subsector_L1,trn_freight_road_tmp_subsector_L2,trn_freight_road,trn_freight,VS1,linear,4.470e-01,3.350e-01,3.350e-01,3.350e-01,3.350e-01
SDP,CHA,,Truck (7.5t),trn_freight_road_tmp_subsector_L1,trn_freight_road_tmp_subsector_L2,trn_freight_road,trn_freight,VS1,linear,1.660e-01,1.660e-01,1.660e-01,1.660e-01,1.660e-01
SDP,CHA,BEV,Moped,trn_pass_road_LDV_2W,trn_pass_road_LDV,trn_pass_road,trn_pass,FV,linear,0.000e+00,0.000e+00,0.000e+00,0.000e+00,0.000e+00
SDP,CHA,BEV,Motorcycle (50-250cc),trn_pass_road_LDV_2W,trn_pass_road_LDV,trn_pass_road,trn_pass,FV,linear,8.400e-02,8.400e-02,8.400e-02,8.400e-02,8.400e-02
SDP,CHA,BEV,Motorcycle (>250cc),trn_pass_road_LDV_2W,trn_pass_road_LDV,trn_pass_road,trn_pass,FV,linear,1.000e+00,1.000e+00,1.000e+00,1.000e+00,1.000e+00
SDP,CHA,Electric,Bus_tmp_vehicletype,Bus_tmp_subsector_L1,Bus,trn_pass_road,trn_pass,FV,linear,0.000e+00,3.320e-01,1.000e+00,1.000e+00,1.000e+00
SDP,CHA,Electric,Freight Rail_tmp_vehicletype,Freight Rail_tmp_subsector_L1,Freight Rail_tmp_subsector_L2,Freight Rail,trn_freight,FV,linear,4.550e-01,5.230e-01,6.600e-01,9.320e-01,9.320e-01
SDP,CHA,Electric,HSR_tmp_vehicletype,HSR_tmp_subsector_L1,HSR_tmp_subsector_L2,HSR,trn_pass,FV,linear,1.000e+00,1.000e+00,1.000e+00,1.000e+00,1.000e+00
SDP,CHA,Electric,Passenger Rail_tmp_vehicletype,Passenger Rail_tmp_subsector_L1,Passenger Rail_tmp_subsector_L2,Passenger Rail,trn_pass,FV,linear,4.160e-01,4.890e-01,6.350e-01,9.270e-01,9.270e-01
SDP,CHA,Electric,Truck (0-3.5t),trn_freight_road_tmp_subsector_L1,trn_freight_road_tmp_subsector_L2,trn_freight_road,trn_freight,FV,linear,0.000e+00,4.770e-02,4.500e-01,9.820e-01,9.820e-01
SDP,CHA,Electric,Truck (18t),trn_freight_road_tmp_subsector_L1,trn_freight_road_tmp_subsector_L2,trn_freight_road,trn_freight,FV,linear,0.000e+00,1.900e-02,2.420e-01,9.530e-01,9.530e-01
SDP,CHA,Electric,Truck (26t),trn_freight_road_tmp_subsector_L1,trn_freight_road_tmp_subsector_L2,trn_freight_road,trn_freight,FV,linear,1.000e-01,4.000e-01,9.000e-01,1.000e+00,1.000e+00
SDP,CHA,Electric,Truck (40t),trn_freight_road_tmp_subsector_L1,trn_freight_road_tmp_subsector_L2,trn_freight_road,trn_freight,FV,linear,1.000e-01,4.000e-01,9.000e-01,1.000e+00,1.000e+00
SDP,CHA,Electric,Truck (7.5t),trn_freight_road_tmp_subsector_L1,trn_freight_road_tmp_subsector_L2,trn_freight_road,trn_freight,FV,linear,0.000e+00,4.770e-02,4.500e-01,9.820e-01,9.820e-01
SDP,CHA,FCEV,Bus_tmp_vehicletype,Bus_tmp_subsector_L1,Bus,trn_pass_road,trn_pass,FV,linear,0.000e+00,2.230e-02,6.690e-02,7.000e-02,7.000e-02
SDP,CHA,FCEV,Truck (0-3.5t),trn_freight_road_tmp_subsector_L1,trn_freight_road_tmp_subsector_L2,trn_freight_road,trn_freight,FV,linear,0.000e+00,1.340e-03,2.850e-02,1.460e-01,1.460e-01
SDP,CHA,FCEV,Truck (18t),trn_freight_road_tmp_subsector_L1,trn_freight_road_tmp_subsector_L2,trn_freight_road,trn_freight,FV,linear,0.000e+00,4.950e-04,1.080e-02,1.000e-01,1.000e-01
SDP,CHA,FCEV,Truck (26t),trn_freight_road_tmp_subsector_L1,trn_freight_road_tmp_subsector_L2,trn_freight_road,trn_freight,FV,linear,1.000e-02,2.000e-01,6.000e-01,2.000e-01,2.000e-01
SDP,CHA,FCEV,Truck (40t),trn_freight_road_tmp_subsector_L1,trn_freight_road_tmp_subsector_L2,trn_freight_road,trn_freight,FV,linear,1.000e-02,2.000e-01,6.000e-01,2.000e-01,2.000e-01
SDP,CHA,FCEV,Truck (7.5t),trn_freight_road_tmp_subsector_L1,trn_freight_road_tmp_subsector_L2,trn_freight_road,trn_freight,FV,linear,0.000e+00,1.340e-03,2.850e-02,1.460e-01,1.460e-01
SDP,CHA,Hydrogen,Domestic Aviation_tmp_vehicletype,Domestic Aviation_tmp_subsector_L1,Domestic Aviation_tmp_subsector_L2,Domestic Aviation,trn_pass,FV,linear,0.000e+00,8.320e-07,4.540e-05,1.190e-01,1.190e-01
SDP,CHA,Liquids,Bus_tmp_vehicletype,Bus_tmp_subsector_L1,Bus,trn_pass_road,trn_pass,FV,linear,1.000e+00,1.000e+00,7.440e-01,3.500e-01,3.500e-01
SDP,CHA,Liquids,Domestic Aviation_tmp_vehicletype,Domestic Aviation_tmp_subsector_L1,Domestic Aviation_tmp_subsector_L2,Domestic Aviation,trn_pass,FV,linear,1.000e+00,1.000e+00,1.000e+00,1.000e+00,1.000e+00
SDP,CHA,Liquids,Domestic Ship_tmp_vehicletype,Domestic Ship_tmp_subsector_L1,Domestic Ship_tmp_subsector_L2,Domestic Ship,trn_freight,FV,linear,1.000e+00,1.000e+00,1.000e+00,1.000e+00,1.000e+00
