"","variable","region","period","unit","scenario","value","model"
"223","ES|Transport|Freight|Road","ASEAN",2050,"bn tkm/yr","historical",4701.05687864926,"IEA ETP B2DS"
"224","ES|Transport|Freight|Road","Brazil",2050,"bn tkm/yr","historical",3265.0902604901,"IEA ETP B2DS"
"225","ES|Transport|Freight|Road","ASEAN",2025,"bn tkm/yr","historical",2269.4960803781,"IEA ETP 2DS"
"226","ES|Transport|Freight|Road","Brazil",2025,"bn tkm/yr","historical",2057.88942319961,"IEA ETP 2DS"
"227","ES|Transport|Freight|Road","China",2025,"bn tkm/yr","historical",9102.5271343812,"IEA ETP 2DS"
"228","ES|Transport|Freight|Road","European Union",2025,"bn tkm/yr","historical",3279.25517003615,"IEA ETP 2DS"
"229","ES|Transport|Freight|Road","India",2025,"bn tkm/yr","historical",3362.70042270424,"IEA ETP 2DS"
"230","ES|Transport|Freight|Road","Mexico",2025,"bn tkm/yr","historical",654.756195429481,"IEA ETP 2DS"
"231","ES|Transport|Freight|Road","Russia",2025,"bn tkm/yr","historical",1101.75093865824,"IEA ETP 2DS"
"232","ES|Transport|Freight|Road","South Africa",2025,"bn tkm/yr","historical",395.890530770001,"IEA ETP 2DS"
"233","ES|Transport|Freight|Road","United States",2025,"bn tkm/yr","historical",7506.69147833462,"IEA ETP 2DS"
"234","ES|Transport|Freight|Road","OECD",2030,"bn tkm/yr","historical",15646.7571176003,"IEA ETP 2DS"
"235","ES|Transport|Freight|Road","NonOECD",2030,"bn tkm/yr","historical",31676.1558277449,"IEA ETP 2DS"
"236","ES|Transport|Freight|Road","ASEAN",2030,"bn tkm/yr","historical",2837.74995652065,"IEA ETP 2DS"
"237","ES|Transport|Freight|Road","Brazil",2030,"bn tkm/yr","historical",2325.9093226667,"IEA ETP 2DS"
"238","ES|Transport|Freight|Road","China",2030,"bn tkm/yr","historical",11471.0034236195,"IEA ETP 2DS"
"239","ES|Transport|Freight|Road","European Union",2030,"bn tkm/yr","historical",3561.85581203692,"IEA ETP 2DS"
"240","ES|Transport|Freight|Road","India",2030,"bn tkm/yr","historical",4497.35831093178,"IEA ETP 2DS"
"241","ES|Transport|Freight|Road","Mexico",2030,"bn tkm/yr","historical",745.320864544584,"IEA ETP 2DS"
